auv_image_name,mod_image_name
PR_20101021_071358_888_LC16,HSthBroad2010_T41c
PR_20101021_071426_866_LC16,HSthBroad2010_T41d
PR_20101021_071450_870_LC16,HSthBroad2010_T41e
PR_20101021_071514_864_LC16,HSthBroad2010_T41f
PR_20101021_071538_857_LC16,HSthBroad2010_T41g
PR_20101021_071603_842_LC16,HSthBroad2010_T41h
PR_20101021_071627_835_LC16,HSthBroad2010_T41i
PR_20101021_071652_832_LC16,HSthBroad2010_T41j
PR_20101021_071718_855_LC16,HSthBroad2010_T42a
PR_20101021_071756_814_LC16,HSthBroad2010_T42b
PR_20101021_071821_809_LC16,HSthBroad2010_T42c
PR_20101021_071845_804_LC16,HSthBroad2010_T42d
PR_20101021_071907_802_LC16,HSthBroad2010_T42e
PR_20101021_071931_796_LC16,HSthBroad2010_T42f
PR_20101021_071956_795_LC16,HSthBroad2010_T42g
PR_20101021_072023_806_LC16,HSthBroad2010_T42h
PR_20101021_072051_772_LC16,HSthBroad2010_T42i
PR_20101021_072122_756_LC16,HSthBroad2010_T42j
PR_20101021_072147_740_LC16,HSthBroad2010_T43a
PR_20101021_072214_742_LC16,HSthBroad2010_T43b
PR_20101021_072237_731_LC16,HSthBroad2010_T43c
PR_20101021_072259_732_LC16,HSthBroad2010_T43d
PR_20101021_072327_749_LC16,HSthBroad2010_T43e
PR_20101021_072350_712_LC16,HSthBroad2010_T43f
PR_20101021_072413_701_LC16,HSthBroad2010_T43g
PR_20101021_072436_708_LC16,HSthBroad2010_T43h
PR_20101021_072500_682_LC16,HSthBroad2010_T43i
PR_20101021_072527_710_LC16,HSthBroad2010_T43j
PR_20101021_072552_708_LC16,HSthBroad2010_T44a
PR_20101021_072616_671_LC16,HSthBroad2010_T44b
PR_20101021_072637_654_LC16,HSthBroad2010_T44c
PR_20101021_072659_654_LC16,HSthBroad2010_T44d
PR_20101021_072722_630_LC16,HSthBroad2010_T44e
PR_20101021_072745_619_LC16,HSthBroad2010_T44f
PR_20101021_072809_610_LC16,HSthBroad2010_T44g
PR_20101021_072833_610_LC16,HSthBroad2010_T44h
PR_20101021_072858_597_LC16,HSthBroad2010_T44i
PR_20101021_072922_101_LC16,HSthBroad2010_T44j
PR_20101021_072945_107_LC16,HSthBroad2010_T45a
PR_20101021_073007_116_LC16,HSthBroad2010_T45b
PR_20101021_073030_081_LC16,HSthBroad2010_T45c
PR_20101021_073053_069_LC16,HSthBroad2010_T45d
PR_20101021_073115_054_LC16,HSthBroad2010_T45e
PR_20101021_073137_066_LC16,HSthBroad2010_T45f
PR_20101021_073159_076_LC16,HSthBroad2010_T45g
PR_20101021_073222_042_LC16,HSthBroad2010_T45h
PR_20101021_073245_031_LC16,HSthBroad2010_T45i
PR_20101021_073308_020_LC16,HSthBroad2010_T45j
PR_20101021_073331_011_LC16,HSthBroad2010_T46a
PR_20101021_073355_014_LC16,HSthBroad2010_T46b
PR_20101021_073417_994_LC16,HSthBroad2010_T46c
PR_20101021_073441_010_LC16,HSthBroad2010_T46d
PR_20101021_073505_033_LC16,HSthBroad2010_T46e
PR_20101021_073527_994_LC16,HSthBroad2010_T46f
PR_20101021_073549_981_LC16,HSthBroad2010_T46g
PR_20101021_073611_980_LC16,HSthBroad2010_T46h
PR_20101021_073635_961_LC16,HSthBroad2010_T46i
PR_20101021_073700_957_LC16,HSthBroad2010_T46j
PR_20101021_074207_872_LC16,HSthBroad2010_T47a
PR_20101021_074236_852_LC16,HSthBroad2010_T47b
PR_20101021_074304_856_LC16,HSthBroad2010_T47c
PR_20101021_074330_840_LC16,HSthBroad2010_T47d
PR_20101021_074353_818_LC16,HSthBroad2010_T47e
PR_20101021_074417_810_LC16,HSthBroad2010_T47f
PR_20101021_074444_811_LC16,HSthBroad2010_T47g
PR_20101021_074511_811_LC16,HSthBroad2010_T47h
PR_20101021_074537_783_LC16,HSthBroad2010_T47i
PR_20101021_074603_781_LC16,HSthBroad2010_T47j
PR_20101021_074629_780_LC16,HSthBroad2010_T48a
PR_20101021_074652_785_LC16,HSthBroad2010_T48b
PR_20101021_074717_764_LC16,HSthBroad2010_T48c
PR_20101021_074743_789_LC16,HSthBroad2010_T48d
PR_20101021_074813_744_LC16,HSthBroad2010_T48e
PR_20101021_074836_251_LC16,HSthBroad2010_T48f
PR_20101021_074900_227_LC16,HSthBroad2010_T48g
PR_20101021_074926_246_LC16,HSthBroad2010_T48h
PR_20101021_074953_254_LC16,HSthBroad2010_T48i
